Comment,Designator,Footprint,LCSC Part # (optional)
47pF-50V-5%,C1,603,C1671
"BUK9Y43-60E,115 (MOSFET_60V_22A)","M1, M2, M3, M4, M5, M5V",SOT-669-4,C456113
STPS30170CG-TR (Diode Rectifier),PWR_SWITCHER,TO-263-3,C180498
10 OHM-0603-1/10W-1%,R1,603,C22859
1KOHM-0603-1/10W-1%,"R2, R6, R14",603,C21190
4.7KOHM-0603-1/10W-1%,"R3, R4",603,C23162
10KOHM-0603-1/10W-1%,"R5, R7, R10, R11, R12, R13",603,C25804
20KOHM-0603-1/10W-1%,"R8, R9, R15, R16",603,C4184
